"IDpol","ClaimNb","Exposure","Area","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Density","Region","ClaimAmount"
3244915,0,0.07,"D",6,12,34,64,"B1","Regular",715,"R31",0
1012976,0,0.31,"E",10,0,33,50,"B12","Regular",2278,"R11",0
5093077,0,0.64,"E",6,0,48,56,"B12","Regular",5763,"R11",0
1051105,0,1,"D",5,11,40,50,"B2","Diesel",1329,"R11",0
4041367,0,0.88,"C",5,1,62,50,"B12","Diesel",388,"R93",0
4042989,0,0.05,"A",5,9,25,95,"B3","Diesel",45,"R93",0
174559,0,1,"C",9,2,52,62,"B12","Regular",412,"R53",0
2228505,0,0.08,"C",9,6,38,57,"B1","Regular",343,"R93",0
5099849,0,0.48,"B",7,0,51,50,"B12","Diesel",87,"R72",0
4009769,0,0.62,"D",5,1,51,50,"B12","Regular",824,"R91",0
26464,0,1,"B",4,6,52,52,"B2","Regular",65,"R93",0
4179087,0,1,"D",4,17,50,50,"B1","Regular",1871,"R82",0
1065069,0,0.73,"D",7,6,51,106,"B2","Diesel",1323,"R82",0
5022039,0,0.2,"E",7,3,55,80,"B12","Regular",3963,"R91",0
1133181,0,0.49,"E",7,2,45,58,"B3","Regular",2484,"R26",0
5007887,0,0.87,"F",7,5,71,50,"B12","Regular",27000,"R11",0
4156975,0,0.11,"D",13,14,45,95,"B11","Regular",509,"R82",0
40779,0,1,"D",7,3,51,50,"B4","Regular",740,"R82",0
4008380,0,0.95,"C",7,3,31,50,"B12","Diesel",453,"R72",0
1008820,0,0.7,"C",4,1,37,100,"B12","Regular",265,"R94",0
5106117,0,0.13,"C",4,0,42,50,"B12","Diesel",249,"R52",0
3251570,0,0.08,"D",5,18,54,50,"B1","Regular",1929,"R11",0
3027700,0,0.05,"D",11,0,35,57,"B12","Diesel",721,"R93",0
2281148,0,0.66,"D",9,8,47,50,"B2","Regular",1929,"R11",0
79751,0,0.5,"A",7,12,64,50,"B1","Regular",10,"R24",0
2112,1,0.49,"B",5,0,34,50,"B12","Regular",92,"R53",1062.00782877996
1183496,0,0.99,"F",5,10,27,76,"B6","Regular",27000,"R11",0
6012419,0,0.28,"E",5,5,48,50,"B12","Regular",4762,"R93",0
5085121,0,0.71,"C",6,2,55,50,"B12","Diesel",327,"R73",0
4042660,0,0.87,"D",7,1,50,68,"B12","Diesel",1408,"R52",0
4115049,1,1,"A",7,8,48,50,"B1","Regular",39,"R24",1628.8
2211080,0,1,"C",6,11,46,50,"B1","Diesel",158,"R53",0
4136660,0,1,"D",11,11,44,50,"B10","Regular",634,"R53",0
3233692,0,0.24,"D",5,15,63,50,"B2","Diesel",625,"R91",0
2085479,0,0.46,"D",8,8,56,58,"B10","Regular",1110,"R82",0
4142916,0,1,"C",6,10,57,50,"B1","Diesel",358,"R82",0
6072429,0,0.7,"E",4,6,39,64,"B12","Regular",8915,"R11",0
2088246,0,1,"D",5,11,66,50,"B5","Diesel",566,"R93",0
5071605,0,0.46,"D",4,3,36,85,"B12","Regular",604,"R41",0
3206120,0,0.75,"C",6,5,29,57,"B1","Diesel",287,"R53",0
3065236,0,1,"D",4,8,74,50,"B5","Regular",776,"R41",0
1175881,0,0.01,"C",4,3,32,64,"B1","Regular",473,"R53",0
71650,0,1,"C",6,12,64,50,"B1","Regular",393,"R31",0
3052032,0,1,"B",7,8,77,52,"B2","Regular",78,"R24",0
3236328,0,0.08,"F",5,1,67,50,"B5","Diesel",22821,"R11",0
3144935,0,1,"D",6,11,62,50,"B4","Regular",1601,"R41",0
2130524,0,0.58,"D",5,6,51,50,"B1","Regular",820,"R41",0
3024723,0,0.28,"C",9,4,50,50,"B12","Regular",269,"R91",0
4022083,0,0.29,"E",10,2,51,61,"B12","Regular",7444,"R11",0
84435,0,0.07,"C",5,2,20,100,"B2","Diesel",484,"R52",0
5075964,0,0.12,"D",4,3,48,50,"B12","Diesel",1601,"R41",0
3004592,0,0.27,"E",6,10,40,51,"B3","Regular",3490,"R31",0
4076871,0,0.04,"C",6,5,46,50,"B1","Diesel",113,"R31",0
3039884,0,0.78,"F",6,1,52,50,"B12","Diesel",27000,"R11",0
2268374,0,0.46,"E",10,9,32,85,"B5","Diesel",3317,"R93",0
2011520,0,0.12,"F",5,1,50,76,"B12","Regular",27000,"R11",0
55169,0,0.53,"F",6,9,54,50,"B1","Regular",13719,"R11",0
3173068,0,0.31,"C",8,14,19,95,"B11","Regular",399,"R24",0
2113554,0,0.02,"D",5,11,54,50,"B2","Diesel",1704,"R82",0
2261394,0,0.22,"C",11,10,34,68,"B10","Regular",167,"R23",0
4186780,0,1,"A",5,3,50,50,"B2","Diesel",30,"R24",0
2226515,0,0.33,"E",7,4,35,72,"B2","Diesel",2257,"R72",0
2139665,0,0.05,"C",7,2,44,60,"B3","Regular",237,"R82",0
6102977,0,0.08,"D",7,4,43,63,"B12","Diesel",1729,"R74",0
4151927,1,1,"C",6,15,36,72,"B1","Diesel",308,"R24",830.31
2219811,0,0.08,"C",8,0,28,64,"B12","Diesel",159,"R91",0
34398,0,1,"C",7,16,29,51,"B1","Regular",405,"R24",0
3239752,0,0.24,"B",4,2,65,62,"B2","Regular",59,"R73",0
4131825,0,1,"D",12,9,63,50,"B5","Regular",1054,"R24",0
3084534,0,1,"A",6,8,38,57,"B1","Diesel",44,"R24",0
3051561,1,0.52,"D",7,11,22,95,"B3","Regular",1943,"R24",4204
2068551,0,0.27,"C",7,20,52,77,"B1","Regular",488,"R11",0
1181654,0,1.11,"C",6,0,27,64,"B3","Diesel",499,"R93",0
1006340,1,0.53,"F",5,1,51,60,"B12","Regular",27000,"R11",1128.12
4187936,0,1,"E",5,3,23,100,"B1","Diesel",4762,"R93",0
2273853,0,0.08,"C",6,1,32,76,"B4","Diesel",108,"R52",0
3254880,0,0.12,"C",5,16,40,76,"B1","Regular",122,"R91",0
2149712,0,0.69,"E",10,7,40,59,"B1","Regular",3430,"R82",0
3099614,0,0.77,"C",4,14,44,50,"B5","Diesel",388,"R24",0
1179903,0,1,"D",4,8,48,50,"B2","Diesel",721,"R93",0
87887,0,1,"E",6,11,40,66,"B6","Regular",3688,"R82",0
170864,0,0.71,"D",4,12,75,65,"B6","Regular",983,"R52",0
2110874,0,1,"A",7,12,67,50,"B2","Diesel",10,"R26",0
4118936,0,1,"C",6,5,68,50,"B1","Diesel",251,"R24",0
1164252,0,1,"C",4,10,50,50,"B6","Regular",394,"R24",0
5078766,0,0.03,"E",7,15,81,50,"B11","Regular",3541,"R52",0
65478,0,1,"C",5,2,67,50,"B6","Regular",107,"R91",0
4175833,0,0.3,"E",5,9,36,57,"B1","Regular",3386,"R53",0
105718,0,1,"C",4,12,48,50,"B14","Regular",149,"R24",0
174221,0,1,"E",7,8,69,50,"B1","Regular",3963,"R91",0
1122050,0,0.32,"E",6,12,23,80,"B1","Diesel",3688,"R82",0
2090715,0,1,"A",11,17,41,50,"B1","Diesel",22,"R31",0
1112076,1,0.55,"E",10,11,27,76,"B11","Regular",2740,"R22",92.99
131573,0,1,"A",6,3,40,50,"B1","Diesel",13,"R24",0
6026538,0,0.45,"C",4,4,32,57,"B12","Diesel",123,"R23",0
2129781,0,0.73,"C",7,8,58,62,"B10","Diesel",140,"R24",0
39112,0,0.15,"B",6,12,23,118,"B2","Regular",76,"R24",0
4138985,0,0.74,"C",10,9,57,70,"B13","Regular",292,"R11",0
5065913,0,0.13,"C",4,1,42,50,"B12","Diesel",358,"R73",0
6001402,0,0.2,"B",5,6,57,50,"B12","Diesel",51,"R24",0
3032532,0,0.32,"A",6,8,61,50,"B2","Diesel",8,"R94",0
2281485,0,0.5,"A",10,13,59,50,"B2","Diesel",16,"R72",0
4082272,0,0.2,"D",4,2,52,80,"B12","Diesel",824,"R91",0
2157595,0,0.61,"C",6,12,36,50,"B1","Diesel",354,"R52",0
3150567,0,1,"D",5,8,49,50,"B4","Diesel",600,"R82",0
1025450,0,0.04,"A",7,10,24,90,"B1","Regular",41,"R24",0
1055058,0,0.04,"C",5,4,57,90,"B3","Diesel",252,"R24",0
1098819,0,0.39,"D",7,9,48,54,"B10","Diesel",1054,"R24",0
6022574,0,0.2,"D",7,3,36,50,"B12","Diesel",721,"R93",0
3179596,0,1,"E",6,10,45,50,"B6","Diesel",2715,"R24",0
3135652,0,0.18,"C",9,12,27,68,"B3","Regular",137,"R24",0
1122211,0,0.48,"C",5,0,60,50,"B2","Regular",169,"R72",0
2131668,0,1,"A",7,15,34,50,"B1","Regular",15,"R24",0
2156170,0,0.11,"C",14,3,29,54,"B3","Regular",132,"R82",0
2121163,0,0.15,"D",4,7,58,50,"B2","Regular",741,"R24",0
1194753,0,0.49,"C",7,4,34,59,"B11","Diesel",238,"R54",0
2178101,0,1,"A",6,13,49,51,"B2","Regular",11,"R24",0
2226282,0,0.33,"D",5,3,37,50,"B5","Regular",612,"R25",0
6093369,0,0.09,"C",7,1,38,50,"B12","Diesel",239,"R24",0
3038282,0,0.7,"E",4,1,59,50,"B12","Diesel",5433,"R93",0
4166574,0,0.95,"C",5,3,63,50,"B2","Regular",252,"R24",0
4000292,0,0.87,"E",4,4,65,63,"B12","Regular",3663,"R11",0
4176121,0,1,"D",6,10,58,50,"B1","Diesel",1284,"R25",0
2275288,0,0.9,"E",7,9,56,50,"B4","Regular",2446,"R93",0
1041138,0,0.75,"C",9,9,27,57,"B1","Regular",109,"R82",0
2020015,0,0.21,"A",7,1,44,50,"B12","Diesel",49,"R91",0
4167894,0,0.71,"A",6,13,41,50,"B2","Diesel",36,"R72",0
56726,1,0.71,"E",5,16,23,90,"B2","Regular",3075,"R72",1128.12
3150273,0,0.33,"E",9,1,66,50,"B2","Regular",3368,"R24",0
2273342,0,0.08,"E",5,7,33,50,"B1","Regular",3963,"R91",0
2049400,0,1,"C",7,10,60,50,"B11","Regular",118,"R24",0
24504,1,0.17,"B",6,12,38,50,"B5","Diesel",57,"R24",1878.20833453822
3110814,0,0.18,"A",8,13,43,50,"B1","Diesel",31,"R24",0
4181271,0,0.05,"A",6,12,21,95,"B1","Diesel",22,"R24",0
3042055,0,0.95,"B",4,1,76,50,"B12","Regular",80,"R24",0
1084795,0,0.56,"D",7,0,54,50,"B1","Diesel",763,"R52",0
2288461,0,0.08,"C",8,1,56,50,"B3","Diesel",170,"R72",0
4131798,0,1,"C",7,9,53,50,"B5","Diesel",135,"R82",0
4131886,0,1,"C",6,14,44,50,"B1","Diesel",232,"R24",0
3243828,0,0.07,"B",8,18,60,50,"B13","Diesel",73,"R73",0
2046255,0,1,"A",4,3,83,50,"B2","Diesel",19,"R24",0
2230190,0,0.08,"C",5,11,40,50,"B2","Diesel",163,"R11",0
3071952,0,0.25,"F",4,5,48,90,"B3","Regular",13520,"R11",0
5006665,0,0.29,"E",5,5,50,50,"B12","Regular",2618,"R22",0
40961,0,0.85,"C",7,5,55,59,"B1","Diesel",115,"R82",0
6034435,0,0.16,"E",8,3,43,50,"B12","Regular",6913,"R11",0
1059071,0,1,"A",5,1,42,50,"B2","Diesel",46,"R53",0
1121031,0,0.61,"C",4,16,33,69,"B1","Regular",395,"R53",0
2072801,0,0.39,"A",5,12,41,50,"B3","Regular",14,"R24",0
4120512,0,0.18,"A",8,13,37,57,"B14","Diesel",35,"R24",0
5052580,0,0.7,"D",4,1,48,80,"B12","Diesel",1326,"R93",0
1168917,0,1,"C",4,3,50,50,"B4","Regular",137,"R52",0
2285843,0,0.58,"D",6,4,42,50,"B4","Diesel",1753,"R82",0
4125613,0,0.02,"B",4,0,31,50,"B1","Diesel",52,"R24",0
3251899,0,0.08,"D",7,7,42,80,"B2","Regular",1287,"R72",0
37548,0,1,"D",5,7,35,54,"B5","Diesel",1002,"R41",0
2280480,0,0.25,"E",6,6,36,60,"B1","Regular",4348,"R72",0
3033971,0,0.06,"C",12,0,52,50,"B12","Diesel",162,"R93",0
47861,0,0.13,"A",10,12,53,51,"B2","Diesel",12,"R82",0
3073108,0,0.1,"D",10,2,38,50,"B10","Diesel",1109,"R24",0
6098070,0,0.45,"D",4,1,51,50,"B12","Regular",1370,"R73",0
3193703,0,1,"A",9,16,52,50,"B1","Regular",43,"R24",0
5014352,0,0.54,"B",6,5,36,50,"B12","Regular",77,"R43",0
2013142,0,0.34,"D",7,1,32,57,"B12","Diesel",1451,"R31",0
1154186,0,0.8,"C",7,7,48,50,"B1","Regular",214,"R26",0
2209001,0,1,"C",7,1,59,54,"B5","Diesel",201,"R54",0
2016327,0,0.26,"A",4,1,52,50,"B12","Regular",15,"R26",0
4080954,0,0.87,"D",12,1,37,83,"B12","Diesel",1957,"R11",0
1044423,0,0.1,"A",5,0,68,50,"B1","Diesel",43,"R24",0
2060115,0,1,"B",6,8,37,50,"B1","Diesel",66,"R24",0
151541,0,1,"D",7,6,56,50,"B2","Regular",763,"R52",0
1151020,1,1,"A",5,7,43,62,"B2","Diesel",9,"R24",1855.08
6080017,0,0.7,"C",6,2,34,51,"B3","Diesel",104,"R93",0
4174632,0,1,"E",6,7,70,50,"B1","Diesel",4116,"R24",0
3209496,0,1,"A",4,6,49,50,"B2","Regular",14,"R24",0
1081399,1,0.84,"D",4,3,65,50,"B1","Regular",634,"R53",166.28
3149963,0,0.91,"C",4,1,54,50,"B1","Diesel",161,"R82",0
4146327,0,0.19,"E",7,16,53,85,"B1","Regular",4348,"R72",0
5065942,0,0.86,"B",7,1,58,50,"B12","Diesel",93,"R24",0
2223501,0,0.08,"C",6,12,42,50,"B1","Diesel",123,"R52",0
6077837,0,0.74,"A",11,1,45,50,"B12","Diesel",17,"R26",0
117398,0,0.34,"A",9,0,51,50,"B1","Regular",31,"R24",0
2038602,0,0.06,"D",6,0,62,50,"B12","Diesel",1267,"R11",0
2123319,0,1,"A",8,13,53,50,"B2","Diesel",21,"R24",0
3032048,0,0.17,"C",7,0,36,54,"B12","Diesel",103,"R72",0
2289206,0,0.08,"C",7,20,49,50,"B1","Regular",300,"R72",0
2024916,0,0.07,"C",7,0,38,50,"B1","Diesel",186,"R93",0
2089003,0,0.12,"C",6,5,40,54,"B1","Diesel",214,"R52",0
164837,0,1,"A",5,9,25,60,"B2","Diesel",23,"R24",0
2119072,0,1,"B",7,9,40,50,"B2","Regular",85,"R25",0
3025839,0,0.71,"B",8,1,43,50,"B12","Diesel",82,"R82",0
4135395,0,0.56,"D",13,14,31,72,"B11","Regular",741,"R24",0
3048430,0,0.49,"A",7,8,72,50,"B2","Regular",32,"R24",0
1047775,0,0.24,"E",7,13,69,50,"B1","Regular",9307,"R82",0
3169388,0,0.83,"C",5,0,75,50,"B1","Regular",182,"R24",0
2231354,0,0.08,"D",6,12,21,100,"B1","Diesel",657,"R54",0
6094264,0,0.42,"E",6,2,48,50,"B12","Regular",8455,"R82",0
3057248,0,1,"C",6,17,49,50,"B3","Regular",435,"R54",0
4059249,0,0.38,"D",11,0,48,50,"B12","Diesel",756,"R26",0
61140,0,1,"D",7,8,69,50,"B5","Regular",586,"R41",0
4118162,0,1,"B",7,12,47,50,"B2","Regular",93,"R54",0
3002884,0,0.32,"C",4,3,51,62,"B12","Regular",254,"R72",0
4129489,0,0.91,"B",4,6,42,50,"B1","Regular",59,"R53",0
2289709,0,0.08,"E",7,13,45,57,"B2","Diesel",2044,"R24",0
1073675,0,1,"D",6,8,78,50,"B2","Diesel",798,"R54",0
3061999,0,1,"C",7,14,54,50,"B2","Regular",298,"R82",0
3249984,0,0.08,"B",6,11,40,50,"B12","Regular",53,"R91",0
4181273,0,0.5,"B",9,0,55,50,"B10","Diesel",73,"R53",0
2064169,0,1,"B",5,4,33,80,"B2","Diesel",50,"R53",0
5046775,0,0.09,"C",12,2,23,100,"B12","Regular",110,"R53",0
2285672,0,0.33,"A",8,1,36,50,"B12","Diesel",19,"R72",0
1191059,0,0.49,"D",5,13,30,60,"B2","Diesel",1468,"R93",0
3034044,0,0.13,"D",8,2,27,80,"B2","Regular",721,"R93",0
2166657,0,0.13,"B",4,21,46,50,"B2","Regular",64,"R24",0
2261510,0,0.19,"E",11,21,48,50,"B5","Regular",9307,"R82",0
6111353,0,0.48,"D",8,0,51,90,"B12","Diesel",1084,"R31",0
1033457,0,0.46,"C",11,2,34,51,"B1","Diesel",102,"R54",0
6054031,0,0.35,"C",6,2,45,50,"B12","Diesel",135,"R93",0
2025427,1,0.14,"E",4,0,64,50,"B12","Diesel",2211,"R11",1172
1191457,0,1,"C",6,10,42,76,"B12","Diesel",269,"R91",0
4160231,0,0.6,"A",5,18,28,72,"B3","Regular",31,"R24",0
2234901,0,0.08,"F",6,12,65,50,"B12","Regular",12750,"R11",0
2138223,0,0.37,"D",7,6,25,68,"B1","Regular",1313,"R24",0
1170171,0,1,"A",6,6,73,50,"B2","Diesel",10,"R24",0
2100129,1,1,"D",8,10,61,62,"B10","Diesel",575,"R53",58.18
3061545,0,0.08,"F",6,16,30,80,"B5","Diesel",27000,"R11",0
164932,0,0.96,"A",6,9,41,50,"B1","Diesel",37,"R53",0
148166,0,1,"A",5,12,67,50,"B2","Regular",27,"R24",0
1192758,0,1,"A",5,3,39,67,"B5","Diesel",29,"R72",0
3053568,0,1,"C",7,18,71,50,"B1","Regular",252,"R52",0
5014160,0,0.23,"C",4,4,32,57,"B12","Regular",145,"R82",0
3244105,0,0.07,"D",10,5,33,64,"B4","Regular",1294,"R72",0
3245135,0,0.07,"E",8,9,41,56,"B12","Regular",4059,"R23",0
4136830,0,1,"E",7,10,57,51,"B1","Regular",4253,"R72",0
6099717,0,0.13,"D",8,1,38,85,"B12","Regular",1706,"R11",0
4021564,0,0.12,"B",7,4,34,64,"B6","Diesel",92,"R74",0
84701,0,0.33,"D",4,4,47,50,"B2","Regular",1408,"R52",0
36099,0,0.63,"C",4,14,31,50,"B1","Regular",370,"R24",0
1196449,0,0.24,"E",6,4,29,64,"B2","Diesel",4059,"R23",0
4086341,0,0.28,"D",6,2,61,50,"B12","Diesel",1045,"R73",0
2149185,0,0.09,"C",7,0,54,55,"B11","Regular",197,"R52",0
5026942,0,0.54,"C",5,3,67,62,"B12","Regular",116,"R82",0
3253504,0,0.17,"D",6,10,49,50,"B2","Diesel",573,"R82",0
2227820,0,0.19,"A",5,7,32,69,"B1","Regular",45,"R93",0
4146153,0,1,"C",5,1,53,50,"B2","Diesel",106,"R24",0
3250246,0,0.08,"B",5,11,38,50,"B1","Diesel",81,"R73",0
4176792,0,0.75,"C",5,11,47,50,"B2","Regular",149,"R24",0
1090201,0,0.79,"B",4,8,40,64,"B2","Diesel",68,"R54",0
4169617,0,0.19,"E",5,13,51,71,"B12","Diesel",8549,"R82",0
2126077,0,0.1,"D",4,4,41,50,"B6","Regular",657,"R54",0
3047402,0,0.49,"D",13,4,57,50,"B1","Regular",1426,"R82",0
4048291,0,0.05,"D",9,0,60,50,"B12","Regular",645,"R11",0
176806,0,1,"A",7,12,46,50,"B2","Diesel",17,"R25",0
1112715,0,0.8,"C",8,1,49,58,"B3","Regular",207,"R73",0
4145665,0,0.94,"A",6,17,48,51,"B1","Diesel",23,"R24",0
5027243,0,0.45,"D",7,4,50,53,"B12","Diesel",1287,"R72",0
5013509,0,0.63,"D",4,4,57,76,"B12","Regular",543,"R91",0
3240903,0,0.16,"E",11,8,29,85,"B12","Diesel",3317,"R93",0
2162724,0,0.08,"B",7,13,25,100,"B2","Regular",85,"R82",0
2199992,0,0.91,"F",6,7,56,68,"B1","Regular",27000,"R11",0
1011462,0,0.04,"E",4,1,46,50,"B12","Regular",5859,"R11",0
2080454,0,0.91,"D",4,1,54,50,"B1","Diesel",817,"R31",0
4045273,0,0.89,"C",7,0,53,50,"B12","Diesel",124,"R41",0
3144661,0,0.46,"C",6,18,64,50,"B3","Regular",412,"R73",0
3179065,0,1,"A",7,9,74,50,"B2","Diesel",15,"R24",0
4138695,0,1,"E",5,6,45,50,"B2","Regular",3317,"R93",0
3100829,0,0.03,"A",8,4,49,58,"B1","Diesel",50,"R82",0
1167793,0,1,"C",6,11,46,50,"B2","Regular",283,"R25",0
4155930,0,1,"C",4,3,45,50,"B1","Regular",109,"R24",0
3016795,0,0.53,"B",4,2,51,50,"B12","Regular",58,"R72",0
3235920,0,0.08,"D",7,20,41,64,"B2","Diesel",1287,"R72",0
1029277,0,1,"A",10,6,49,50,"B10","Diesel",30,"R24",0
3134658,0,0.09,"D",4,12,46,50,"B2","Diesel",1326,"R93",0
3066638,0,1,"C",7,3,31,50,"B2","Regular",358,"R73",0
4139313,0,0.52,"C",7,14,50,50,"B2","Regular",229,"R53",0
1121882,0,0.12,"D",7,0,49,55,"B1","Regular",1079,"R31",0
6103207,0,0.61,"C",7,1,57,50,"B12","Diesel",188,"R21",0
2073071,0,1,"C",5,12,51,50,"B2","Diesel",298,"R24",0
3091599,0,1,"D",5,14,71,50,"B4","Diesel",1982,"R54",0
1130039,0,0.51,"C",11,9,55,50,"B1","Regular",155,"R24",0
2283731,0,0.08,"E",6,6,34,50,"B3","Diesel",7259,"R31",0
4011964,0,0.79,"A",4,3,60,50,"B12","Regular",30,"R82",0
4060473,0,0.24,"F",7,0,58,50,"B12","Diesel",27000,"R11",0
2276436,0,0.75,"C",8,12,35,72,"B12","Regular",269,"R91",0
2151343,0,0.002739726,"D",5,15,36,68,"B2","Regular",1408,"R52",0
3043089,0,0.6,"E",5,4,24,85,"B3","Diesel",2365,"R31",0
3241932,0,0.07,"E",5,9,53,65,"B2","Regular",7444,"R11",0
2227229,0,0.33,"D",6,12,27,76,"B2","Diesel",1882,"R72",0
151420,0,1,"C",10,9,49,50,"B1","Regular",214,"R24",0
1183761,0,0.95,"D",6,0,59,50,"B6","Diesel",1699,"R91",0
5013674,0,0.36,"C",4,4,71,50,"B12","Regular",146,"R91",0
2117231,0,1,"C",5,18,30,54,"B1","Regular",213,"R42",0
140231,0,0.24,"C",7,14,36,80,"B1","Regular",480,"R52",0
2036506,0,0.34,"B",6,1,51,50,"B3","Diesel",65,"R93",0
2287257,0,0.08,"B",6,8,34,51,"B1","Diesel",84,"R23",0
4023613,0,0.008196721,"E",4,2,30,57,"B12","Regular",2740,"R22",0
4035410,0,0.58,"A",8,1,52,50,"B12","Diesel",28,"R93",0
3207127,0,1,"C",8,2,44,50,"B2","Diesel",106,"R24",0
3045113,0,0.55,"D",4,7,39,50,"B13","Regular",1780,"R31",0
1046952,0,0.99,"A",5,12,45,50,"B2","Regular",37,"R24",0
3104221,0,1,"A",7,12,79,50,"B1","Diesel",25,"R72",0
2097344,0,1,"E",7,3,56,50,"B13","Regular",3946,"R82",0
1187568,0,1,"C",4,1,51,50,"B2","Diesel",221,"R91",0
2259170,0,0.07,"E",8,16,31,80,"B10","Diesel",4128,"R52",0
1043516,0,0.91,"D",7,6,31,68,"B4","Regular",1314,"R24",0
165979,0,0.21,"B",5,11,46,50,"B2","Regular",88,"R24",0
4122913,0,1,"C",5,6,70,50,"B1","Regular",125,"R53",0
2231583,0,0.17,"A",6,17,36,58,"B1","Regular",33,"R72",0
58961,0,0.09,"C",7,11,29,60,"B1","Diesel",182,"R53",0
5097404,0,0.02,"E",4,0,50,57,"B12","Regular",3214,"R83",0
2069375,0,1,"C",9,15,42,50,"B1","Regular",186,"R24",0
1038075,0,0.5,"C",4,7,73,50,"B2","Diesel",282,"R24",0
3206553,0,0.63,"D",5,4,53,50,"B6","Regular",1313,"R24",0
2273835,0,0.08,"A",11,4,39,80,"B1","Diesel",5,"R72",0
3122806,0,1,"D",5,1,69,72,"B2","Diesel",713,"R52",0
4157959,0,0.09,"E",9,12,25,100,"B4","Regular",2951,"R41",0
1023655,0,0.03,"D",6,1,53,50,"B1","Regular",1943,"R24",0
4086426,0,0.3,"B",4,1,40,50,"B12","Diesel",88,"R22",0
3036775,0,0.41,"E",7,1,36,50,"B1","Regular",3301,"R73",0
145019,0,1,"C",8,11,63,50,"B14","Diesel",234,"R24",0
154858,0,1,"C",7,6,50,50,"B11","Diesel",165,"R53",0
6086990,0,0.11,"D",8,2,58,50,"B12","Diesel",1326,"R93",0
3127334,0,0.7,"D",4,12,37,54,"B5","Regular",960,"R31",0
3241634,0,0.19,"A",9,19,47,50,"B2","Regular",24,"R22",0
2228169,0,0.08,"B",5,5,46,54,"B3","Diesel",69,"R93",0
2275641,0,0.5,"E",9,1,60,50,"B2","Regular",3317,"R93",0
2289130,0,0.08,"C",5,13,34,50,"B3","Regular",121,"R91",0
3052054,0,1,"A",7,8,91,50,"B2","Regular",43,"R24",0
5037476,0,0.28,"C",4,3,57,50,"B12","Regular",245,"R21",0
3121382,0,1,"E",9,14,29,90,"B1","Regular",5449,"R82",0
4176117,0,0.46,"B",5,5,73,50,"B2","Regular",94,"R53",0
2182581,0,0.82,"E",6,4,64,50,"B2","Diesel",2103,"R25",0
2060736,0,1,"C",8,12,69,50,"B1","Diesel",133,"R24",0
3146518,0,0.17,"D",5,10,47,62,"B5","Diesel",682,"R93",0
1130984,0,0.56,"A",7,4,71,50,"B1","Regular",36,"R83",0
3200947,0,1,"C",4,12,45,50,"B2","Regular",121,"R24",0
2002508,0,0.71,"D",5,2,41,50,"B12","Regular",688,"R93",0
4156515,0,0.12,"D",4,3,36,50,"B6","Regular",747,"R53",0
4012480,0,0.28,"A",11,3,57,72,"B12","Diesel",26,"R52",0
2156658,0,0.13,"A",10,12,53,50,"B1","Regular",41,"R24",0
3038147,0,0.7,"D",7,2,47,67,"B1","Diesel",514,"R82",0
4148175,0,1,"E",6,14,41,50,"B1","Regular",3368,"R24",0
1084594,0,0.16,"D",5,21,51,50,"B5","Regular",763,"R52",0
4123685,0,1,"C",7,24,51,50,"B1","Diesel",453,"R72",0
34302,0,1,"C",11,31,54,50,"B2","Regular",393,"R24",0
6109917,0,0.13,"D",4,0,57,50,"B12","Regular",756,"R26",0
6113901,0,0.08,"C",4,0,52,50,"B12","Regular",206,"R82",0
2020309,0,0.12,"C",4,2,24,118,"B3","Diesel",179,"R31",0
21984,1,1,"B",7,15,42,50,"B1","Regular",91,"R24",1661.78831630642
2180531,0,1,"B",4,10,80,50,"B2","Regular",66,"R54",0
4179631,0,1,"E",6,4,55,50,"B10","Diesel",2252,"R82",0
105978,0,0.44,"E",5,17,30,68,"B2","Regular",4436,"R25",0
3187764,0,1,"A",6,13,50,50,"B1","Diesel",7,"R24",0
100063,0,0.14,"E",7,5,19,100,"B1","Diesel",8549,"R82",0
96103,0,0.3,"C",5,21,25,76,"B5","Regular",444,"R31",0
1098668,0,0.59,"C",7,10,47,50,"B2","Diesel",160,"R82",0
1198658,0,0.63,"C",10,5,43,51,"B12","Regular",439,"R11",0
20967,1,1,"D",6,12,63,50,"B1","Diesel",1064,"R24",1240.03893664476
4017657,0,0.78,"B",4,3,83,51,"B12","Regular",99,"R93",0
2227914,0,0.08,"E",7,0,78,50,"B3","Diesel",4059,"R23",0
3183867,0,1,"C",7,8,41,50,"B2","Diesel",405,"R24",0
4042680,0,0.05,"A",8,1,40,50,"B12","Diesel",47,"R83",0
3067046,0,1,"B",5,8,51,52,"B1","Regular",71,"R53",0
3003150,0,0.71,"C",5,1,48,50,"B12","Regular",161,"R82",0
4163820,0,0.27,"D",4,1,45,50,"B2","Diesel",1929,"R11",0
3240013,0,0.16,"C",5,4,57,50,"B2","Diesel",196,"R82",0
26760,0,0.51,"A",6,10,27,68,"B1","Diesel",27,"R52",0
2276556,0,0.5,"C",6,3,56,50,"B1","Diesel",160,"R83",0
6055356,0,0.4,"C",7,2,32,60,"B12","Diesel",106,"R11",0
150757,0,0.06,"C",7,5,59,50,"B1","Diesel",255,"R52",0
1102845,0,1,"D",4,19,53,50,"B1","Regular",1110,"R82",0
2281893,0,0.5,"E",5,6,41,50,"B3","Diesel",2983,"R31",0
48090,0,0.58,"D",6,11,37,76,"B2","Diesel",831,"R54",0
